key,Created Date,data,Incident Zip,Incident Address,Street Name,City,Status,Community Board,Borough,latitude,longitude
29080080,10/16/2014 04:45:00 PM,"Taste/Odor, Chlorine (QA1)",11385,63-23 60 PLACE,60 PLACE,Ridgewood,Closed,05 QUEENS,QUEENS,40.71068457085975,-73.9027508415981
29084037,10/16/2014 06:25:00 AM,"Taste/Odor, Bitter/Metallic (QA3)",10009,283 AVENUE C,AVENUE C,NEW YORK,Closed,06 MANHATTAN,MANHATTAN,40.73005419230772,-73.97463520738778
29084710,10/16/2014 05:15:00 AM,Clear Water With Other Particles (Use Comments) (QEZ),10451,3204 PARK AVENUE,PARK AVENUE,BRONX,Closed,03 BRONX,BRONX,40.825205801555526,-73.91626681123752
29077450,10/15/2014 06:01:00 PM,"Taste/Odor, Sewer (QA5)",11106,31-62 29 STREET,29 STREET,Astoria,Closed,01 QUEENS,QUEENS,40.76363186067768,-73.92626422415442
29076911,10/15/2014 12:53:00 PM,"Taste/Odor, Chemical (QA2)",10024,175 WEST 79 STREET,WEST 79 STREET,NEW YORK,Closed,07 MANHATTAN,MANHATTAN,40.78277034439117,-73.97740637857073
29067225,10/14/2014 01:19:00 PM,"Taste/Odor, Bitter/Metallic (QA3)",11372,94-05 35 AVENUE,35 AVENUE,Jackson Heights,Closed,03 QUEENS,QUEENS,40.753002120027645,-73.87337052033078
29067735,10/14/2014 12:51:00 PM,"Taste/Odor, Sewer (QA5)",11358,27-25 166 STREET,166 STREET,Flushing,Closed,07 QUEENS,QUEENS,40.77160673322366,-73.7986661695516
29064717,10/13/2014 09:34:00 AM,unknown odor/taste in drinking water (QA6),11220,447 44 STREET,44 STREET,BROOKLYN,Closed,07 BROOKLYN,BROOKLYN,40.64915736758791,-74.00796418526897
29063425,10/13/2014 09:30:00 AM,"Taste/Odor, Musty/Stale (QA4)",10456,1329 CLINTON AVENUE,CLINTON AVENUE,BRONX,Closed,03 BRONX,BRONX,40.83209874854085,-73.90023175725837
29056836,10/12/2014 03:21:00 PM,"Cloudy Or Milky, Other (Use Comments) (QBZ)",10466,686 EAST 234 STREET,EAST 234 STREET,BRONX,Closed,12 BRONX,BRONX,40.894397256010194,-73.85769996208678
29055489,10/11/2014 10:07:00 PM,"Taste/Odor, Chlorine (QA1)",11379,65-44 77 STREET,77 STREET,Middle Village,Started,05 QUEENS,QUEENS,40.71621556358115,-73.87721007360203
29054914,10/11/2014 09:35:00 PM,"Taste/Odor, Chlorine (QA1)",11379,65-52 77 STREET,77 STREET,Middle Village,Closed,05 QUEENS,QUEENS,40.716146944635526,-73.87721020001673
29053148,10/11/2014 06:36:00 PM,"Taste/Odor, Chlorine (QA1)",10471,301 WEST 260 STREET,WEST 260 STREET,BRONX,Closed,08 BRONX,BRONX,40.90778020088189,-73.89931500682997
29047979,10/10/2014 11:47:00 AM,"Taste/Odor, Chlorine (QA1)",11235,3130 BRIGHTON 6 STREET,BRIGHTON 6 STREET,BROOKLYN,Closed,13 BROOKLYN,BROOKLYN,40.576444270181966,-73.96125556055088
29046700,10/10/2014 11:41:00 AM,"Oil, Grease In Water (QD1)",11238,770 FULTON STREET,FULTON STREET,BROOKLYN,Closed,02 BROOKLYN,BROOKLYN,40.68480308376534,-73.97070425482374
29046305,10/10/2014 09:30:00 AM,"Taste/Odor, Chlorine (QA1)",10305,381 FINGERBOARD ROAD,FINGERBOARD ROAD,STATEN ISLAND,Closed,02 STATEN ISLAND,STATEN ISLAND,40.60206253195295,-74.07104732885425
29041538,10/09/2014 07:44:00 PM,Cloudy Or Milky Water (QB1),10303,90 WESTBROOK AVENUE,WESTBROOK AVENUE,STATEN ISLAND,Closed,01 STATEN ISLAND,STATEN ISLAND,40.62650381513327,-74.15157444533104
29039143,10/09/2014 08:30:00 AM,unknown odor/taste in drinking water (QA6),11236,1564 REMSEN AVENUE,REMSEN AVENUE,BROOKLYN,Closed,18 BROOKLYN,BROOKLYN,40.63312408894543,-73.89807208891993
29037183,10/08/2014 08:42:00 PM,"Taste/Odor, Musty/Stale (QA4)",11101,43-10 CRESCENT STREET,CRESCENT STREET,Long Island City,Closed,02 QUEENS,QUEENS,40.74870685388612,-73.94231592971958
29033862,10/08/2014 02:10:00 PM,"Taste/Odor, Chemical (QA2)",11234,1620 EAST 35 STREET,EAST 35 STREET,BROOKLYN,Closed,18 BROOKLYN,BROOKLYN,40.615311854284236,-73.93883292723416
29025220,10/07/2014 05:06:00 PM,"Taste/Odor, Chlorine (QA1)",11235,2540 BATCHELDER STREET,BATCHELDER STREET,BROOKLYN,Closed,15 BROOKLYN,BROOKLYN,40.59106893216641,-73.9372132735428
29028462,10/07/2014 01:11:00 PM,"Cloudy Or Milky, Other (Use Comments) (QBZ)",10024,366 COLUMBUS AVENUE,COLUMBUS AVENUE,NEW YORK,Closed,07 MANHATTAN,MANHATTAN,40.780889970330506,-73.97625877162108
29024731,10/07/2014 10:49:00 AM,unknown odor/taste in drinking water (QA6),11222,113 DIAMOND STREET,DIAMOND STREET,BROOKLYN,Closed,01 BROOKLYN,BROOKLYN,40.72624340380527,-73.94722404176537
29030102,10/07/2014 10:25:00 AM,"No Sampling Required, Requested Information (QG2)",10016,51 EAST 34 STREET,EAST 34 STREET,NEW YORK,Closed,06 MANHATTAN,MANHATTAN,40.74753422034886,-73.98238795660272
29030868,10/07/2014 02:13:00 AM,"Taste/Odor, Musty/Stale (QA4)",11234,13 BERGEN BEACH PLACE,BERGEN BEACH PLACE,BROOKLYN,Closed,18 BROOKLYN,BROOKLYN,40.6223754768557,-73.91493627226079
29024269,10/07/2014 12:34:00 AM,"Taste/Odor, Chlorine (QA1)",11235,3033 BRIGHTON 14 STREET,BRIGHTON 14 STREET,BROOKLYN,Closed,13 BROOKLYN,BROOKLYN,40.57883007793217,-73.95527832668657
29021693,10/06/2014 05:11:00 PM,Clear Water With Other Particles (Use Comments) (QEZ),10305,231 HYLAN BOULEVARD,HYLAN BOULEVARD,STATEN ISLAND,Closed,01 STATEN ISLAND,STATEN ISLAND,40.61225750180188,-74.0697471556652
29020814,10/06/2014 04:49:00 PM,unknown odor/taste in drinking water (QA6),10465,2830 SCHLEY AVENUE,SCHLEY AVENUE,BRONX,Closed,10 BRONX,BRONX,40.82365662505882,-73.82299147388855
29020840,10/06/2014 02:34:00 PM,"Cloudy Or Milky, Other (Use Comments) (QBZ)",10304,125 CROMWELL AVENUE,CROMWELL AVENUE,STATEN ISLAND,Closed,02 STATEN ISLAND,STATEN ISLAND,40.590671846301134,-74.0970059712258
